timestamp,open,low,high,close,volume
2020-01-06,15550,15550,15550,15550,0
2020-01-07,15550,15550,15550,15550,1000
2020-01-08,15550,15550,15550,15550,200
2020-01-09,15550,15550,15550,15550,100
2020-01-10,15550,15550,15750,15750,1200
2020-01-13,15750,15400,15750,15400,1200
2020-01-14,15400,15400,15400,15400,200
2020-01-15,15400,15400,15400,15400,200
2020-01-16,15400,15400,15400,15400,100
2020-01-17,15200,15200,15200,15200,2000
2020-01-20,15200,15200,15200,15200,0
2020-01-21,15200,15200,15200,15200,100
2020-01-22,15150,15150,15200,15200,300
2020-01-23,15200,15200,15200,15200,0
2020-01-24,15175,15175,15200,15200,10500
2020-01-27,15200,15200,15200,15200,0
2020-01-28,15200,15200,15200,15200,0
2020-01-29,15000,15000,15200,15200,2200
2020-01-30,15200,15200,15200,15200,0
2020-01-31,15200,15200,15200,15200,0
2020-02-03,15200,15200,15200,15200,0
2020-02-04,15200,15200,15200,15200,0
2020-02-05,15200,15200,15200,15200,200
2020-02-06,15200,15200,15200,15200,0
2020-02-07,15200,15200,15200,15200,100
2020-02-10,15200,15200,15200,15200,0
2020-02-11,15200,15200,15200,15200,0
2020-02-12,15200,15200,15200,15200,600
2020-02-13,15200,15200,15200,15200,0
2020-02-14,15200,15200,15200,15200,0
2020-02-17,15200,15200,15200,15200,0
2020-02-18,15200,15200,15200,15200,0
2020-02-19,15200,15200,15200,15200,0
2020-02-20,15200,15200,15200,15200,0
2020-02-21,15200,15200,15200,15200,0
2020-02-24,15200,15200,15200,15200,0
2020-02-25,15200,15200,15200,15200,0
2020-02-26,15200,15200,15200,15200,0
2020-02-27,15200,15200,15200,15200,0
2020-02-28,15200,15200,15200,15200,100
2020-03-02,15200,15200,15200,15200,0
2020-03-03,15200,15200,15200,15200,0
2020-03-04,15200,15200,15200,15200,0
2020-03-05,15200,15200,15200,15200,100
2020-03-06,15200,15200,15200,15200,0
2020-03-09,15200,15200,15200,15200,0
2020-03-10,15200,15200,15200,15200,0
2020-03-11,15200,15200,15200,15200,0
2020-03-12,15200,15200,15200,15200,0
2020-03-13,15200,15200,15200,15200,0
2020-03-16,15200,15200,15200,15200,0
2020-03-17,15200,15200,15200,15200,0
2020-03-18,15200,15200,15200,15200,0
2020-03-19,15200,15200,15200,15200,0
2020-03-20,15200,15200,15200,15200,0
2020-03-23,15200,15200,15200,15200,0
2020-03-24,15200,15200,15200,15200,0
2020-03-25,15200,15200,15200,15200,0
2020-03-26,15200,15200,15200,15200,0
2020-03-27,15200,15200,15200,15200,0
2020-03-30,15200,15200,15200,15200,0
2020-03-31,14500,14500,14500,14500,200
2020-04-01,14500,14500,14500,14500,0
2020-04-02,14500,14500,14500,14500,0
2020-04-03,14500,14500,14500,14500,100
2020-04-06,14500,14500,14500,14500,0
2020-04-07,14500,14500,14500,14500,0
2020-04-08,14500,14500,14500,14500,0
2020-04-09,14500,14500,14500,14500,0
2020-04-10,14500,14500,14500,14500,0
2020-04-13,14500,14500,14500,14500,0
2020-04-14,14500,14500,14500,14500,0
2020-04-15,14500,14500,14500,14500,300
2020-04-16,14500,14500,14500,14500,0
2020-04-17,14500,14500,14500,14500,0
2020-04-20,14500,14500,14500,14500,0
2020-04-21,14500,14500,14500,14500,0
2020-04-22,14500,14500,14500,14500,0
2020-04-23,14500,14500,14500,14500,0
2020-04-24,14500,14500,14500,14500,0
2020-04-27,14500,14500,14500,14500,0
2020-04-28,14500,14500,14500,14500,0
2020-04-29,14500,14500,14500,14500,0
2020-04-30,14500,14500,14500,14500,0
2020-05-01,14500,14500,14500,14500,0
