timestamp,open,low,high,close,volume
2020-10-08,2670,2650,2720,2700,154587800
2020-10-09,2710,2700,2750,2730,109122300
2020-10-12,2750,2710,2760,2730,77479100
2020-10-13,2730,2680,2740,2730,97205500
2020-10-14,2730,2710,2830,2810,183236500
2020-10-15,2800,2760,2850,2780,138462900
2020-10-16,2780,2720,2780,2750,135175000
2020-10-19,2800,2710,2810,2710,187840500
2020-10-20,2710,2670,2740,2670,168211100
2020-10-21,2680,2670,2710,2680,142146300
2020-10-22,2670,2650,2720,2700,257179400
2020-10-23,2710,2630,2720,2630,166356000
2020-10-26,2630,2630,2680,2650,97523200
2020-10-27,2640,2620,2690,2620,146366600
2020-10-28,2640,2620,2690,2620,0
2020-10-29,2640,2620,2690,2620,0
2020-10-30,2640,2620,2690,2620,0
2020-11-02,2590,2550,2620,2560,391510600
2020-11-03,2570,2540,2590,2580,188874000
2020-11-04,2600,2580,2640,2580,150678200
2020-11-05,2630,2620,2810,2770,369260400
2020-11-06,2800,2750,2840,2830,243865800
2020-11-09,2860,2840,2900,2880,208192700
2020-11-10,2950,2860,2950,2860,195337300
2020-11-11,2900,2880,3100,3080,480530200
2020-11-12,3080,3010,3080,3040,169609900
2020-11-13,3010,2950,3010,2990,186708800
2020-11-16,3040,3020,3100,3070,206145500
2020-11-17,3100,3100,3270,3220,527501800
2020-11-18,3200,3160,3250,3180,239122600
2020-11-19,3150,3140,3220,3170,185558800
2020-11-20,3190,3180,3270,3220,211892500
2020-11-23,3230,3220,3340,3320,260752200
2020-11-24,3350,3330,3380,3350,207503900
2020-11-25,3370,3280,3390,3280,253156200
2020-11-26,3280,3280,3480,3470,374185400
2020-11-27,3480,3420,3500,3460,163651600
2020-11-30,3460,3220,3470,3230,624142600
2020-12-01,3230,3160,3320,3240,277929200
2020-12-02,3270,3240,3330,3330,187276600
2020-12-03,3330,3280,3360,3300,121434200
2020-12-04,3270,3210,3280,3250,170418900
2020-12-07,3280,3260,3330,3330,175436900
2020-12-08,3350,3290,3350,3300,113775100
2020-12-09,3350,3290,3350,3300,0
2020-12-10,3270,3250,3290,3260,229380200
2020-12-11,3270,3250,3330,3280,154365400
2020-12-14,3300,3250,3340,3320,281474900
2020-12-15,3320,3290,3490,3450,410175700
2020-12-16,3500,3500,3640,3610,455088400
2020-12-17,3610,3520,3620,3540,249797800
2020-12-18,3500,3500,3540,3510,187856600
2020-12-21,3530,3510,3610,3520,267970200
2020-12-22,3500,3340,3540,3360,311860000
2020-12-23,3350,3240,3420,3320,240067600
2020-12-24,3350,3240,3420,3320,0
2020-12-25,3350,3240,3420,3320,0
2020-12-28,3370,3280,3460,3430,178138100
2020-12-29,3500,3400,3530,3420,184525500
2020-12-30,3420,3310,3420,3310,150844500
2020-12-31,3420,3310,3420,3310,0
2021-01-01,3420,3310,3420,3310,0
2021-01-04,3320,3310,3500,3490,165339800
2021-01-05,3480,3420,3480,3470,157800700
2021-01-06,3470,3330,3490,3370,177877900
2021-01-07,3390,3380,3450,3390,140221900
2021-01-08,3450,3440,3620,3570,492643700
2021-01-11,3590,3570,3640,3600,271231200
2021-01-12,3600,3500,3620,3510,189779500
2021-01-13,3550,3460,3550,3480,162329300
2021-01-14,3480,3470,3590,3500,187448400
2021-01-15,3510,3450,3540,3480,133304300
2021-01-18,3480,3430,3520,3450,138913100
2021-01-19,3470,3370,3490,3410,144100700
2021-01-20,3420,3380,3480,3470,116098100
2021-01-21,3500,3460,3520,3480,81801900
2021-01-22,3420,3360,3440,3390,165024200
2021-01-25,3370,3310,3410,3370,118131800
2021-01-26,3360,3260,3390,3260,111414500
2021-01-27,3340,3260,3380,3380,159144700
2021-01-28,3280,3230,3330,3240,142648800
2021-01-29,3290,3110,3290,3110,191915100
2021-02-01,3130,3040,3250,3230,133929600
2021-02-02,3300,3250,3330,3270,114734600
2021-02-03,3250,3220,3330,3240,86433900
2021-02-04,3270,3260,3330,3290,80319500
2021-02-05,3320,3270,3320,3290,52630500
2021-02-08,3300,3270,3370,3280,96635600
2021-02-09,3250,3180,3300,3200,157479200
2021-02-10,3180,3160,3220,3190,125221400
2021-02-11,3220,3170,3230,3190,79940700
2021-02-12,3220,3170,3230,3190,0
2021-02-15,3200,3200,3260,3220,88883300
2021-02-16,3200,3190,3250,3210,82026300
2021-02-17,3220,3140,3250,3150,121105300
2021-02-18,3190,3180,3270,3180,151200300
2021-02-19,3180,3170,3220,3210,63214600
2021-02-22,3210,3170,3240,3170,100425500
2021-02-23,3200,3200,3480,3470,354966200
2021-02-24,3490,3460,3550,3480,303017100
