timestamp,open,low,high,close,volume
2020-04-21,2750,2690,2790,2720,132873300
2020-04-22,2700,2650,2830,2790,179543300
2020-04-23,2830,2790,2880,2800,216170700
2020-04-24,2800,2630,2800,2630,293711300
2020-04-27,2680,2610,2700,2660,182608400
2020-04-28,2680,2570,2690,2590,268296100
2020-04-29,2600,2560,2620,2580,209136400
2020-04-30,2620,2610,2740,2730,432073900
2020-05-01,2620,2610,2740,2730,0
2020-05-04,2670,2600,2680,2630,200608900
2020-05-05,2630,2610,2680,2630,184761500
2020-05-06,2630,2600,2650,2620,173052900
2020-05-07,2630,2600,2650,2620,0
2020-05-08,2640,2580,2660,2590,205764900
2020-05-11,2630,2600,2640,2620,154599200
2020-05-12,2620,2470,2630,2490,368672700
2020-05-13,2460,2440,2520,2470,338592200
2020-05-14,2440,2330,2480,2350,470265100
2020-05-15,2380,2210,2400,2240,594658300
2020-05-18,2250,2160,2270,2170,455462600
2020-05-19,2250,2250,2420,2370,531310100
2020-05-20,2360,2320,2500,2480,394395900
2020-05-21,2360,2320,2500,2480,0
2020-05-22,2360,2320,2500,2480,0
2020-05-25,2360,2320,2500,2480,0
2020-05-26,2550,2470,2550,2520,404097300
2020-05-27,2540,2520,2630,2630,432813000
2020-05-28,2640,2640,2780,2730,453391300
2020-05-29,2700,2700,2950,2950,872607300
2020-06-01,2700,2700,2950,2950,0
2020-06-02,2950,2950,3290,3180,467460800
2020-06-03,3200,3010,3280,3100,438099000
2020-06-04,3120,3030,3200,3060,250143200
2020-06-05,3070,2960,3130,3110,267393400
2020-06-08,3180,3170,3370,3300,384332100
2020-06-09,3350,3210,3360,3210,254497400
2020-06-10,3180,3000,3180,3030,443231300
2020-06-11,3130,2900,3130,2970,372347500
2020-06-12,2900,2800,3040,3030,472128400
2020-06-15,3040,2890,3050,2900,230766700
2020-06-16,2970,2960,3150,3130,338682000
2020-06-17,3200,3080,3200,3100,218180800
2020-06-18,3050,3040,3120,3050,130942600
2020-06-19,3080,3060,3110,3100,166969600
2020-06-22,3100,3030,3110,3060,95377000
